id,question,answer,mean_sim,max_sim,min_sim,std_sim,range_sim
1,Từ Văn_hoá trong văn_bản Phong_cách Hồ_Chí_Minh được hiểu,Học_vấn,0.885360062122345,0.9529826045036316,0.7537933588027954,0.09304383397102356,0.19918924570083618
2,Ý nào nói lên việc tiếp_thu có chọn_lọc tinh_hoa văn_hoá nước_ngoài của Hồ_Chí_Minh không được nêu trong bài viết,Luôn_luôn đề_cao bản_sắc văn_hoá của dân_tộc,0.8916252255439758,0.9041515588760376,0.8822953701019287,0.009204556234180927,0.021856188774108887
3,Vấn_đề chủ_yếu được nói tới trong văn_bản Phong_cách Hồ_Chí_Minh là gì,Phong_cách làm_việc và nếp sống của Chủ_tịch Hồ_Chí_Minh,0.9191593527793884,0.9250386953353882,0.911630392074585,0.005596818868070841,0.013408303260803223
4,Theo tác_giả quan_niệm thẩm_mĩ về cuộc_sống của Chủ_tịch Hồ_Chí_Minh là gì,Cái đẹp là sự giản_dị tự_nhiên thanh_cao,0.8048878312110901,0.8275036811828613,0.7852839231491089,0.017367223277688026,0.04221975803375244
5,Từ nào sau đây trái_nghĩa với truân_chuyên,Nhàn_nhã,0.7600305676460266,0.8030585050582886,0.7300614714622498,0.031198719516396523,0.07299703359603882
6,Trong đoạn văn sau tác_giả đã sử_dụng biện_pháp nghệ_thuật gì để làm nổi_bật phong_cách của Hồ_Chí_Minh Nếp sống giản_dị và thanh_đạm của Bác_Hồ cũng như các vị danh_nho xưa hoàn_toàn không phải là một_cách tự thần_thánh_hoá tự làm cho khác đời hơn đời mà đây là lối sống thanh_cao một_cách di_dưỡng tinh_thần một quan_niệm thẩm_mĩ về cuộc_sống có khả_năng đem lại hạnh_phúc thanh_cao cho tâm_hồn và thể_xác,Sử_dụng phép tăng_tiến,0.9172732830047607,0.9262940883636475,0.9012975692749023,0.011327975429594517,0.024996519088745117
7,Chủ_tịch Hồ_Chí_Minh được UNESCO công_nhận là,Danh_nhân văn_hoá thế_giới,0.9063674807548523,0.907680869102478,0.9050540924072266,0.0013133883476257324,0.002626776695251465
8,Em hiểu từ phong_cách trong Phong_cách Hồ_Chí_Minh có nghĩa là gì,Lối sống cung_cách sinh_hoạt làm_việc hoạt_động ứng_xử tạo nên cái riêng của một người nào đó,0.7797444462776184,0.8404831886291504,0.7227824926376343,0.048125267028808594,0.11770069599151611
9,Đoạn văn sau được viết theo phương_thức biểu_đạt chính nào Trong cuộc_đời đầy truân_chuyên của mình Chủ_tịch Hồ_Chí_Minh đã tiếp_xúc với văn_hoá nhiều nước nhiều vùng trên thế_giới cả ở phương Đông và phương Tây_Trên những con tàu vượt trùng_dương Người đã ghé lại nhiều hải_cảng đã thăm các nước châu_Phi châu_Á_châu Mĩ_Người đã từng sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại_quốc Pháp Anh_Hoa Nga và Người đã làm nhiều nghề,Thuyết_minh,0.9625943303108215,0.9860034584999084,0.9466129541397095,0.01691710203886032,0.039390504360198975
10,Phong_cách sống của Hồ_Chí_Minh được tác_giả so_sánh với những_ai,Các danh_nho Việt_Nam thời xưa Nguyễn_Bỉnh_Khiêm_Nguyễn Trãi,0.830062210559845,0.8829883337020874,0.7731361389160156,0.04493607580661774,0.10985219478607178
11,Hồ_Chí_Minh đã tiếp_thu giá_trị của những nền văn_hoá nào,Phương_Đông_Phương_Tây,0.7893252372741699,0.8424234390258789,0.7563090324401855,0.037915587425231934,0.08611440658569336
12,Ý nào sau đây không đúng khi nói về văn_bản Phong_cách Hồ_Chí_Minh,Thuộc thể_loại văn_bản thuyết_minh,0.8719390034675598,0.9084620475769043,0.8238842487335205,0.03547850251197815,0.08457779884338379
13,Theo em cụm_từ quan_niệm thẩm_mĩ trong câu Nếp sống giản_dị và thanh_đạm của Bác_Hồ là một quan_niệm thẩm_mĩ về cuộc_sống có nghĩa là gì,Quan_niệm về cái đẹp,0.9748818278312683,0.9811944961547852,0.971150279045105,0.004488404840230942,0.010044217109680176
14,Phương_thức biểu_đạt chính trong văn_bản phong_cách Hồ_Chí_Minh là,Tự_sự kết_hợp với thuyết_minh,0.9050773978233337,0.928696870803833,0.8781263828277588,0.020779283717274666,0.05057048797607422
15,Vấn_đề chủ_yếu được nói đến trong Văn_bản phong_cách Hồ_Chí_Minh là,Phong_cách làm_việc và nếp sống của chủ_tịch Hồ_Chí_Minh,0.8892273902893066,0.9498651623725891,0.775286078453064,0.08062426745891571,0.17457908391952515
16,Trong bài viết tác_giả cho rằng Nếp sống giản_dị và thanh_đạm của Bác_Hồ là một quan_niệm thẩm_mĩ về cuộc_sống Theo em cụm_từ quan_niệm thẩm_mĩ là gì,Quan_niệm về cái đẹp,0.9108981490135193,0.9854211211204529,0.8561739921569824,0.054590608924627304,0.12924712896347046
18,Trong các từ sau từ nào không phải là từ Hán_Việt,Vua,0.7689955234527588,0.8886474370956421,0.7071752548217773,0.0846223309636116,0.18147218227386475
19,Trong đoạn văn sau tác_giả sử_dụng biện_pháp nghệ_thuật gì để làm nổi_bật phong_cách Hồ_Chí_Minh Nếp sống giản_dị và thanh_đạm của Bác_Hồ cũng như các vị danh_nho xưa hoàn_toàn không phải cách tự thần_thánh_hoá tự làm cho khác đời hơn đời mà đây là một lối sống thanh_cao một_cách di_dưỡng tinh_thần một quan_niệm về thẩm_mĩ cuộc_sống có khả_năng đem lại hạnh_phúc thanh_cao cho tâm_hồn và thể_xác,Sử_dụng phép tăng_tiến,0.9221256375312805,0.9496734142303467,0.8704204559326172,0.03658730164170265,0.07925295829772949
20,Lối sống của Bác là sự kết_hợp giữa giản_dị và thanh_cao vì sao,Cả 3 đáp_án trên,0.5085961818695068,0.5331023335456848,0.46496137976646423,0.03093247301876545,0.06814095377922058
21,Trong quá_trình tiếp_thu tinh_hoa văn_hoá nước_ngoài Người tiếp_thu một_cách có chọn_lọc không ảnh_hưởng thụ_động biết tiếp_thu cái hay cái đẹp phê_phán hạn_chế tiêu_cực đúng hay sai,Đúng,0.9578888416290283,0.9578888416290283,0.9578888416290283,0.0,0.0
22,Chọn từ thích_hợp để điền vào chỗ trống Đó là cách sống giản_dị đạm_bạc nhưng rất của Hồ_Chí_Minh,Thanh_cao,0.815100371837616,0.8717803955078125,0.7778152823448181,0.04073888808488846,0.09396511316299438
23,Tác_giả của bài Phong_cách Hồ_Chí_Minh là ai,Lê_Anh_Trà,0.91815185546875,0.9263517260551453,0.9058024287223816,0.008887557312846184,0.020549297332763672
24,Phong_cách của Hồ_Chí_Minh là sự kết_hợp giữa,Cả ba đáp_án trên,0.5921621918678284,0.5940645933151245,0.5901318788528442,0.0016080680070444942,0.0039327144622802734
25,Vì sao Hồ_Chủ_tịch lại có vốn văn_hoá sâu_rộng,Cả 3 đáp_án trên,0.4298921525478363,0.4611942172050476,0.40092504024505615,0.024660121649503708,0.060269176959991455
26,Văn_bản này thuộc thể_loại nào,Nhật_dụng sử_dụng yếu_tố nghị_luận,0.7377235293388367,0.751097559928894,0.7304989695549011,0.009467021562159061,0.02059859037399292
27,Lối sống rất bình_dị rất Việt_Nam rất phương Đông của Bác được thể_hiện như_thế_nào,Cả 3 đáp_án trên,0.6614258885383606,0.6804021596908569,0.6297529935836792,0.022542359307408333,0.050649166107177734
28,Phong_cách của Hồ_Chí_Minh là sự kết_hợp giữa,Dân_tộc và nhân_loại,0.8980593085289001,0.9135433435440063,0.882575273513794,0.015484035015106201,0.030968070030212402
29,Tác_giả của bài Phong_cách Hồ_Chí_Minh là ai,Lê_Duẩn,0.9129071235656738,0.9363284111022949,0.8965905904769897,0.01698295958340168,0.039737820625305176
