id,subject,question,sentence_length,avg_word_length,num_clauses,num_punct,num_nouns,num_verbs,num_adjs,perplexity
1,Văn học,Từ Văn hóa trong văn bản Phong cách Hồ Chí Minh được hiểu,8,6.25,0,0,4,1,0,1.5584259768626698
2,Văn học,Ý nào nói lên việc tiếp thu có chọn lọc tinh hoa văn hóa nước ngoài của Hồ Chí Minh không được nêu trong bài viết,19,5.0,0,0,7,8,0,1.35863355276057
3,Văn học,Vấn đề chủ yếu được nói tới trong văn bản Phong cách Hồ Chí Minh là gì,11,5.454545454545454,0,0,4,3,1,1.2540407411918533
4,Văn học,Theo tác giả quan niệm thẩm mĩ về cuộc sống của Chủ tịch Hồ Chí Minh là gì,11,5.818181818181818,0,0,5,3,0,1.1534616466812204
5,Văn học,Từ nào sau đây trái nghĩa với truân chuyên,8,4.375,1,0,2,1,1,1.0402432919181281
6,Văn học,Trong đoạn văn sau tác giả đã sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách của Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,67,5.08955223880597,7,0,26,11,9,1.0508318869332616
7,Văn học,Chủ tịch Hồ Chí Minh được UNESCO công nhận là,6,6.666666666666667,0,0,3,3,0,1.446315775548246
8,Văn học,Em hiểu từ phong cách trong Phong cách Hồ Chí Minh có nghĩa là gì,10,5.6,0,0,4,3,0,1.0783602805835761
9,Văn học,Đoạn văn sau được viết theo phương thức biểu đạt chính nào Trong cuộc đời đầy truân chuyên của mình Chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả ở phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã từng sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề,80,4.7,4,0,34,13,8,1.0860129906398321
10,Văn học,Phong cách sống của Hồ Chí Minh được tác giả so sánh với những ai,10,5.6,0,0,4,3,0,1.7176103040064414
11,Văn học,Hồ Chí Minh đã tiếp thu giá trị của những nền văn hóa nào,9,5.444444444444445,0,0,4,1,0,1.2735804449179158
12,Văn học,Ý nào sau đây không đúng khi nói về văn bản Phong cách Hồ Chí Minh,12,4.583333333333333,2,0,6,1,1,1.0939616572646282
13,Văn học,Theo em cụm từ quan niệm thẩm mĩ trong câu Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống có nghĩa là gì,23,4.956521739130435,1,0,8,8,1,1.0525280803009776
14,Văn học,Phương thức biểu đạt chính trong văn bản phong cách Hồ Chí Minh là,8,7.375,0,0,4,2,0,1.1963215716712172
15,Văn học,Vấn đề chủ yếu được nói đến trong Văn bản phong cách Hồ Chí Minh là,10,5.8,0,0,4,2,1,1.4132243018784836
16,Văn học,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,26,4.769230769230769,1,0,9,9,1,1.1150495305500885
18,Văn học,Trong các từ sau từ nào không phải là từ Hán Việt,12,3.1666666666666665,1,0,3,0,1,1.0294703546424908
19,Văn học,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,65,5.123076923076923,7,0,26,13,7,1.063251825950792
20,Văn học,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,13,3.923076923076923,2,0,3,4,1,1.1565793234861437
21,Văn học,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,26,6.038461538461538,2,0,8,9,3,1.1320499938933681
22,Văn học,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,18,4.444444444444445,2,0,5,4,2,1.2445104274208925
23,Văn học,Tác giả của bài Phong cách Hồ Chí Minh là ai,7,5.428571428571429,0,0,4,1,0,1.694448636075562
24,Văn học,Phong cách của Hồ Chí Minh là sự kết hợp giữa,7,5.571428571428571,0,0,3,2,0,1.0501029651225
25,Văn học,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,8,4.875,1,0,2,2,0,1.5175338823647921
26,Văn học,Văn bản này thuộc thể loại nào,5,5.2,0,0,2,1,0,2.116848980909019
27,Văn học,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,13,5.461538461538462,0,0,3,2,2,1.3370318936741727
28,Văn học,Phong cách của Hồ Chí Minh là sự kết hợp giữa,7,5.571428571428571,0,0,3,2,0,1.0501029651225
29,Văn học,Tác giả của bài Phong cách Hồ Chí Minh là ai,7,5.428571428571429,0,0,4,1,0,1.694448636075562
30,Văn học,Vấn đề chủ yếu được tác giả nói tới trong văn bản Phong cách Hồ Chí Minh là gì,12,5.583333333333333,0,0,5,3,1,1.3260880968813797
31,Văn học,Văn bản này thuộc thể loại nào,5,5.2,0,0,2,1,0,2.116848980909019
32,Văn học,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,18,4.444444444444445,2,0,5,4,2,1.2445104274208925
33,Văn học,Em hiểu từ phong cách trong phong cách Hồ Chí Minh có nghĩa là gì,10,5.6,0,0,4,3,0,1.1063206692058425
