id,question,syntax_depth
1,Từ  Văn hóa trong văn bản  Phong cách Hồ Chí Minh được hiểu,5
2,Ý nào nói lên việc tiếp thu có chọn lọc tinh hoa văn hóa nước ngoài của Hồ Chí Minh không được nêu trong bài viết,8
3,Vấn đề chủ yếu được nói tới trong văn bản Phong cách Hồ Chí Minh là gì,5
4,Theo tác giả quan niệm thẩm mĩ về cuộc sống của Chủ tịch Hồ Chí Minh là gì,6
5,Từ nào sau đây trái nghĩa với truân chuyên,4
6,Trong đoạn văn sau tác giả đã sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách của Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,13
7,Chủ tịch Hồ Chí Minh được UNESCO công nhận là,3
8,Em hiểu từ phong cách trong Phong cách Hồ Chí Minh có nghĩa là gì,6
9,Đoạn văn sau được viết theo phương thức biểu đạt chính nào Trong cuộc đời đầy truân chuyên của mình Chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả ở phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã từng sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề,18
10,Phong cách sống của Hồ Chí Minh được tác giả so sánh với những ai,4
11,Hồ Chí Minh đã tiếp thu giá trị của những nền văn hóa nào,4
12,Ý nào sau đây không đúng khi nói về văn bản Phong cách Hồ Chí Minh,6
13,Theo em cụm từ quan niệm thẩm mĩ trong câu Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống có nghĩa là gì,8
14,Phương thức biểu đạt chính trong văn bản phong cách Hồ Chí Minh là,5
15,Vấn đề chủ yếu được nói đến trong  Văn bản phong cách Hồ Chí Minh  là,4
16,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,5
18,Trong các từ sau từ nào không phải là từ Hán Việt,5
19,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,14
